POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,4w,5w
1,ImranTahir,17,17,64.2,431,26,0,2,0
2,Kagiso Rabada,12,12,47,368,25,0,2,0
3,Deepak Chahar,17,17,64.3,482,22,0,0,0
4,Shreyas Gopal,14,14,48,347,20,0,0,0
5,Jasprit Bumrah,16,16,61.4,409,19,0,0,0
6,Khaleel Ahmed,9,9,34.5,287,19,0,0,0
7,Mohammad Shami,14,14,54,469,19,0,0,0
8,Yuzvendra Chahal,14,14,49.2,386,18,0,1,0
9,Rashid Khan,15,15,60,377,17,0,0,0
10,Harbhajan Singh,11,11,44,312,16,0,0,0
11,Lasith Malinga,12,12,44.5,438,16,0,2,0
12,Ravindra Jadeja,16,16,54,343,15,0,0,0
13,Ravichandran Ashwin,14,14,55,400,15,0,0,0
14,Hardik Pandya,16,16,42.3,390,14,0,0,0
15,Rahul Chahar,13,13,47,308,13,0,0,0
16,Ishant Sharma,13,13,46,349,13,0,0,0
17,Bhuvneshwar Kumar,15,15,59,461,13,0,0,0
18,Chris Morris,9,9,33,306,13,0,0,0
19,Krunal Pandya,16,16,46,335,12,0,0,0
20,Sandeep Sharma,11,11,42.4,352,12,0,0,0
21,Amit Mishra,11,11,40,270,11,0,0,0
22,Jofra Archer,11,11,43,291,11,0,0,0
23,Dwayne Bravo,12,12,41.1,330,11,0,0,0
24,Navdeep Saini,13,13,48,397,11,0,0,0
25,Andre Russell,14,12,30.1,287,11,0,0,0
26,Axar Patel,14,14,51,364,10,0,0,0
27,Sunil Narine,12,12,44.2,347,10,0,0,0
28,Piyush Chawla,13,13,44.3,399,10,0,0,0
29,Sam Curran,9,9,33,323,10,0,1,0
30,Jaydev Unadkat,11,11,37.2,398,10,0,0,0
31,Keemo Paul,8,8,27.1,237,9,0,0,0
32,Mohammad Nabi,8,8,29.1,194,8,0,1,0
33,Sandeep Lamichhane,6,6,23,210,8,0,0,0
34,Shardul Thakur,10,9,30,281,8,0,0,0
35,Umesh Yadav,11,11,37.5,371,8,0,0,0
36,Harry Gurney,8,8,27,238,7,0,0,0
37,Mohammed Siraj,9,9,28.1,269,7,0,0,0
38,Hardus Viljoen,6,6,23,222,7,0,0,0
39,Moeen Ali,11,9,25,169,6,0,0,0
40,Siddarth Kaul,7,7,27,242,6,0,0,0
41,Dhawal Kulkarni,10,10,35,335,6,0,0,0
42,Alzarri Joseph,3,3,8.4,87,6,0,0,1
43,Ben Stokes,9,6,16.5,189,6,0,0,0
44,Murugan Ashwin,10,10,34,255,5,0,0,0
45,Oshane Thomas,4,4,10,79,5,0,0,0
46,Trent Boult,5,5,19,163,5,0,0,0
47,Jason Behrendorff,5,5,19,165,5,0,0,0
48,Mitchell Santner,4,4,14,94,4,0,0,0
49,Washington Sundar,3,3,9,74,4,0,0,0
50,Dale Steyn,2,2,8,69,4,0,0,0
51,Kuldeep Yadav,9,9,33,286,4,0,0,0
52,Prasidh Krishna,11,11,40.2,377,4,0,0,0
53,Ish Sodhi,2,2,7.1,67,4,0,0,0
54,Varun Aaron,5,5,12,116,4,0,0,0
55,Mitchell McClenaghan,5,5,18,142,3,0,0,0
56,Nitish Rana,14,6,8,72,3,0,0,0
57,Pawan Negi,7,4,11.1,102,3,0,0,0
58,Ankit Rajpoot,4,4,16,152,3,0,0,0
59,Mujeeb Ur Rahman,5,5,19,191,3,0,0,0
60,Andrew Tye,6,6,22,233,3,0,0,0
61,Arshdeep Singh,3,3,10,109,3,0,0,0
62,Rahul Tewatia,5,3,6.2,42,2,0,0,0
63,Jagadeesha Suchith,1,1,4,28,2,0,0,0
64,Sandeep Warrier,3,3,12,85,2,0,0,0
65,Riyan Parag,7,7,14,121,2,0,0,0
66,Marcus Stoinis,10,6,16.4,145,2,0,0,0
67,Shakib Al Hasan,3,3,10.5,95,2,0,0,0
68,Scott Kuggeleijn,2,2,8,71,2,0,0,0
69,Harshal Patel,2,2,8,77,2,0,0,0
70,Shahbaz Nadeem,3,3,9,90,2,0,0,0
71,Lockie Ferguson,5,5,17,183,2,0,0,0
72,Anukul Roy,1,1,2,11,1,0,0,0
73,Stuart Binny,8,5,7,44,1,0,0,0
74,Jayant Yadav,2,2,7,50,1,0,0,0
75,Krishnappa Gowtham,7,7,20,166,1,0,0,0
76,Sherfane Rutherford,7,6,6.5,59,1,0,0,0
77,Vijay Shankar,15,5,8,70,1,0,0,0
78,Mohit Sharma,1,1,3,27,1,0,0,0
79,Kulwant Khejroliya,2,2,5,47,1,0,0,0
80,Mayank Markande,3,3,6,59,1,0,0,0
81,Deepak Hooda,11,2,2,21,1,0,0,0
82,Abhishek Sharma,3,2,2,21,1,0,0,0
83,Prithvi Raj,2,2,5,57,1,0,0,0
84,Karn Sharma,1,1,2.5,33,1,0,0,0
85,Varun Chakravarthy,1,1,3,35,1,0,0,0
86,Tim Southee,3,3,9,118,1,0,0,0
87,Ben Cutting,3,1,2,27,1,0,0,0
88,Shivam Dube,4,2,1.4,8,0,0,0,0
89,Suresh Raina,17,1,1,6,0,0,0,0
90,Yusuf Pathan,10,1,1,8,0,0,0,0
91,Hanuma Vihari,2,1,1,9,0,0,0,0
92,Basil Thampi,3,3,12,110,0,0,0,0
93,Harpreet Brar,2,2,5,48,0,0,0,0
94,Carlos Brathwaite,2,2,3,29,0,0,0,0
95,Avesh Khan,1,1,3,30,0,0,0,0
96,Rasikh Salam,1,1,4,42,0,0,0,0
97,Colin de Grandhomme,4,3,5,55,0,0,0,0
98,Barinder Sran,2,2,4,51,0,0,0,0
99,Mandeep Singh,13,2,2,26,0,0,0,0
100,Liam Livingstone,4,1,1,13,0,0,0,0
